Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
99.99157408,3.931382277,-1.03955197
199.9543324,3.929034465,-1.097653307
299.9715797,3.924645141,-1.064519105
300.0561206,3.922631693,-1.002506956
399.8857469,3.932292589,-1.261133115
499.8751178,3.934316638,-0.994904199
600.0297203,3.939715013,-1.083492979
699.8974048,3.946373148,-1.040356286
799.9758082,3.95558718,-1.017233534
900.0391463,3.962265438,-1.024294784
1000.093136,3.972444128,-1.005389382
1999.600878,4.035301898,-1.151284924
3000.282821,4.067333035,-1.349229698
4000.030696,4.080959012,-1.139973924
4999.995525,4.091975182,-1.196536692
6000.233874,4.095535906,-1.528843024
6996.059654,4.10645408,-2.657999646
8000.542713,4.10092807,-2.424767882
8998.95303,4.098819095,-2.236152416
10001.1535,4.108670588,-2.610542541
19997.50917,4.104008346,-2.51240775
29998.14901,4.133348594,-3.161155838
39993.72403,4.136902164,-3.900542315
49997.1666,4.141918715,-4.739541984
49971.34918,4.133122105,-4.698661864
59975.96209,4.139855458,-5.564335122
69997.64663,4.166464552,-6.328722147
79991.36007,4.177747092,-7.259182735
89976.28232,4.181541292,-8.347973317
99991.2405,4.192028301,-9.175242352
149994.893,4.237971456,-15.22850647
199969.9225,4.152136563,-24.24136231
250013.3539,3.519457573,-38.49159346
300121.7599,3.467117717,-53.55893802
320093.9755,3.027229432,-59.72008399
349514.5437,2.509522455,-67.77492867
369602.9003,2.012346348,-72.11290781
400058.1568,1.448577516,-78.68637069
409882.3506,1.145283086,-79.95799102
420249.0398,1.015943539,-81.85145032
429785.4928,0.875444207,-84.87815722
449737.9337,0.430724662,-88.09471926
460360.2168,0.296661929,-88.68335605
469905.195,0.109757824,-90.5815376
479675.0794,-0.247999117,-93.195664
490424.3865,-0.370866244,-95.01240585
499952.1461,-0.534380913,-94.5229963
509901.0257,-0.293849565,-96.27697707
520071.8018,-1.083359488,-100.4182153
529935.2964,-0.965039856,-101.0292058
540538.0712,-1.343422398,-100.9054097
549825.6314,-1.394511951,-101.6545904
560041.8871,-1.459092693,-103.3676481
580139.8031,-2.007632589,-105.7935325
599540.8828,-2.207972449,-107.9218101
649718.2569,-2.994077752,-113.0639152
700244.3837,-3.789706807,-118.0242421
750013.4626,-4.42451284,-122.3463645
799976.5843,-5.030217037,-126.4790403
850009.9739,-5.566088258,-130.4181395
900692.1478,-6.229505711,-134.3900226
980023.2372,-7.012944482,-138.9840592
999568.3212,-7.27083789,-140.9550051
