Freq.	V(vout)
1.00000000000000e+002	(3.94385631165145e+000dB,-1.15958109881242e-002°)
1.00230523807790e+002	(3.94385631128017e+000dB,-1.16225420930276e-002°)
1.00461579027840e+002	(3.94385631090717e+000dB,-1.16493348194910e-002°)
1.00693166885180e+002	(3.94385631053245e+000dB,-1.16761893095666e-002°)
1.00925288607668e+002	(3.94385631015600e+000dB,-1.17031057056345e-002°)
1.01157945425990e+002	(3.94385630977782e+000dB,-1.17300841504025e-002°)
1.01391138573668e+002	(3.94385630939788e+000dB,-1.17571247869079e-002°)
1.01624869287070e+002	(3.94385630901620e+000dB,-1.17842277585172e-002°)
1.01859138805412e+002	(3.94385630863276e+000dB,-1.18113932089277e-002°)
1.02093948370768e+002	(3.94385630824754e+000dB,-1.18386212821679e-002°)
1.02329299228075e+002	(3.94385630786054e+000dB,-1.18659121225985e-002°)
1.02565192625141e+002	(3.94385630747176e+000dB,-1.18932658749125e-002°)
1.02801629812647e+002	(3.94385630708119e+000dB,-1.19206826841371e-002°)
1.03038612044162e+002	(3.94385630668881e+000dB,-1.19481626956333e-002°)
1.03276140576140e+002	(3.94385630629462e+000dB,-1.19757060550973e-002°)
1.03514216667934e+002	(3.94385630589861e+000dB,-1.20033129085614e-002°)
1.03752841581801e+002	(3.94385630550077e+000dB,-1.20309834023943e-002°)
1.03992016582906e+002	(3.94385630510110e+000dB,-1.20587176833023e-002°)
1.04231742939330e+002	(3.94385630469959e+000dB,-1.20865158983296e-002°)
1.04472021922080e+002	(3.94385630429622e+000dB,-1.21143781948597e-002°)
1.04712854805090e+002	(3.94385630389098e+000dB,-1.21423047206157e-002°)
1.04954242865232e+002	(3.94385630348387e+000dB,-1.21702956236612e-002°)
1.05196187382322e+002	(3.94385630307489e+000dB,-1.21983510524012e-002°)
1.05438689639126e+002	(3.94385630266402e+000dB,-1.22264711555827e-002°)
1.05681750921366e+002	(3.94385630225125e+000dB,-1.22546560822959e-002°)
1.05925372517729e+002	(3.94385630183658e+000dB,-1.22829059819742e-002°)
1.06169555719872e+002	(3.94385630142000e+000dB,-1.23112210043959e-002°)
1.06414301822431e+002	(3.94385630100149e+000dB,-1.23396012996844e-002°)
1.06659612123026e+002	(3.94385630058104e+000dB,-1.23680470183092e-002°)
1.06905487922266e+002	(3.94385630015867e+000dB,-1.23965583110866e-002°)
1.07151930523760e+002	(3.94385629973433e+000dB,-1.24251353291807e-002°)
1.07398941234124e+002	(3.94385629930804e+000dB,-1.24537782241039e-002°)
1.07646521362983e+002	(3.94385629887979e+000dB,-1.24824871477180e-002°)
1.07894672222983e+002	(3.94385629844955e+000dB,-1.25112622522350e-002°)
1.08143395129794e+002	(3.94385629801733e+000dB,-1.25401036902174e-002°)
1.08392691402120e+002	(3.94385629758312e+000dB,-1.25690116145797e-002°)
1.08642562361706e+002	(3.94385629714690e+000dB,-1.25979861785889e-002°)
1.08893009333343e+002	(3.94385629670866e+000dB,-1.26270275358652e-002°)
1.09144033644875e+002	(3.94385629626840e+000dB,-1.26561358403830e-002°)
1.09395636627209e+002	(3.94385629582612e+000dB,-1.26853112464715e-002°)
1.09647819614318e+002	(3.94385629538179e+000dB,-1.27145539088159e-002°)
1.09900583943252e+002	(3.94385629493541e+000dB,-1.27438639824579e-002°)
1.10153930954141e+002	(3.94385629448697e+000dB,-1.27732416227965e-002°)
1.10407861990207e+002	(3.94385629403646e+000dB,-1.28026869855890e-002°)
1.10662378397766e+002	(3.94385629358387e+000dB,-1.28322002269519e-002°)
1.10917481526240e+002	(3.94385629312919e+000dB,-1.28617815033613e-002°)
1.11173172728159e+002	(3.94385629267241e+000dB,-1.28914309716543e-002°)
1.11429453359173e+002	(3.94385629221353e+000dB,-1.29211487890293e-002°)
1.11686324778056e+002	(3.94385629175252e+000dB,-1.29509351130474e-002°)
1.11943788346715e+002	(3.94385629128939e+000dB,-1.29807901016325e-002°)
1.12201845430196e+002	(3.94385629082412e+000dB,-1.30107139130728e-002°)
1.12460497396692e+002	(3.94385629035670e+000dB,-1.30407067060214e-002°)
1.12719745617551e+002	(3.94385628988713e+000dB,-1.30707686394971e-002°)
1.12979591467279e+002	(3.94385628941539e+000dB,-1.31008998728852e-002°)
1.13240036323555e+002	(3.94385628894146e+000dB,-1.31311005659387e-002°)
1.13501081567231e+002	(3.94385628846536e+000dB,-1.31613708787784e-002°)
1.13762728582343e+002	(3.94385628798706e+000dB,-1.31917109718945e-002°)
1.14024978756117e+002	(3.94385628750654e+000dB,-1.32221210061474e-002°)
1.14287833478977e+002	(3.94385628702381e+000dB,-1.32526011427678e-002°)
1.14551294144553e+002	(3.94385628653885e+000dB,-1.32831515433583e-002°)
1.14815362149688e+002	(3.94385628605165e+000dB,-1.33137723698943e-002°)
1.15080038894443e+002	(3.94385628556221e+000dB,-1.33444637847242e-002°)
1.15345325782109e+002	(3.94385628507050e+000dB,-1.33752259505709e-002°)
1.15611224219209e+002	(3.94385628457653e+000dB,-1.34060590305323e-002°)
1.15877735615512e+002	(3.94385628408028e+000dB,-1.34369631880822e-002°)
1.16144861384034e+002	(3.94385628358172e+000dB,-1.34679385870716e-002°)
