time	V(vo)
0.000000000000000e+000	0.000000e+000
6.604438856814335e-008	6.537178e-002
1.320887771362867e-007	1.295793e-001
1.981331657044301e-007	1.926226e-001
2.641775542725734e-007	2.545017e-001
3.302219428407167e-007	3.152165e-001
3.962663314088601e-007	3.747670e-001
4.623107199770033e-007	4.331534e-001
5.393377599802885e-007	5.001053e-001
6.163647999835739e-007	5.655314e-001
6.933918399868592e-007	6.294318e-001
7.704188799901444e-007	6.918065e-001
8.474459199934296e-007	7.526553e-001
9.244729599967150e-007	8.119784e-001
1.001500000000000e-006	8.697758e-001
1.003500000000000e-006	8.692803e-001
1.149642857142868e-006	8.339628e-001
1.295785714285737e-006	7.999669e-001
1.441928571428605e-006	7.672927e-001
1.588071428571473e-006	7.359401e-001
1.734214285714341e-006	7.059093e-001
1.880357142857209e-006	6.772001e-001
2.026500000000077e-006	6.498126e-001
2.027500000000077e-006	6.496283e-001
2.173642857142946e-006	6.233736e-001
2.319785714285813e-006	5.981251e-001
2.465928571428682e-006	5.738829e-001
2.612071428571550e-006	5.506470e-001
2.758214285714418e-006	5.284173e-001
2.904357142857286e-006	5.071939e-001
3.050500000000154e-006	4.869767e-001
3.051500000000154e-006	4.868408e-001
3.197642857143007e-006	4.674858e-001
3.343785714285859e-006	4.488966e-001
3.489928571428712e-006	4.310731e-001
3.636071428571564e-006	4.140153e-001
3.782214285714416e-006	3.977233e-001
3.928357142857269e-006	3.821970e-001
4.074500000000121e-006	3.674364e-001
4.075500000000121e-006	3.673372e-001
4.221642857142927e-006	3.532325e-001
4.367785714285733e-006	3.397100e-001
4.513928571428539e-006	3.267698e-001
4.660071428571346e-006	3.144118e-001
4.806214285714152e-006	3.026362e-001
4.952357142856959e-006	2.914429e-001
5.098499999999764e-006	2.808318e-001
5.099499999999764e-006	2.807606e-001
5.214785714285438e-006	2.727293e-001
5.330071428571112e-006	2.649813e-001
5.445357142856786e-006	2.575165e-001
5.560642857142461e-006	2.503349e-001
5.675928571428134e-006	2.434365e-001
5.791214285713809e-006	2.368214e-001
5.906499999999483e-006	2.304894e-001
5.937357142856614e-006	2.288326e-001
5.968214285713747e-006	2.271934e-001
5.999071428570879e-006	2.255719e-001
6.029928571428011e-006	2.239681e-001
6.060785714285143e-006	2.223819e-001
6.091642857142276e-006	2.208134e-001
6.122499999999407e-006	2.192626e-001
6.123499999999407e-006	2.192126e-001
6.269642857142213e-006	2.121328e-001
6.415785714285020e-006	2.053887e-001
6.561928571427826e-006	1.989804e-001
6.708071428570632e-006	1.929078e-001
6.854214285713439e-006	1.871709e-001
7.000357142856245e-006	1.817697e-001
7.146499999999051e-006	1.767043e-001
7.147499999999050e-006	1.766704e-001
7.293642857141922e-006	1.718919e-001
7.439785714284794e-006	1.673678e-001
7.585928571427665e-006	1.630981e-001
7.732071428570537e-006	1.590828e-001
7.878214285713409e-006	1.553219e-001
8.024357142856280e-006	1.518154e-001
8.170499999999152e-006	1.485632e-001
8.171499999999153e-006	1.485416e-001
8.317642857142082e-006	1.455066e-001
8.463785714285013e-006	1.426641e-001
8.609928571427942e-006	1.400139e-001
8.756071428570873e-006	1.375562e-001
8.902214285713802e-006	1.352908e-001
9.048357142856733e-006	1.332178e-001
9.194499999999663e-006	1.313372e-001
9.195499999999663e-006	1.313248e-001
9.341642857142593e-006	1.296082e-001
9.487785714285524e-006	1.280367e-001
9.633928571428453e-006	1.266104e-001
9.780071428571384e-006	1.253292e-001
9.926214285714313e-006	1.241931e-001
1.007235714285724e-005	1.232021e-001
1.021850000000017e-005	1.223563e-001
1.021950000000017e-005	1.223509e-001
1.036564285714310e-005	1.216285e-001
1.051178571428603e-005	1.210153e-001
1.065792857142896e-005	1.205111e-001
1.080407142857189e-005	1.201161e-001
1.095021428571482e-005	1.198302e-001
1.109635714285776e-005	1.196534e-001
1.124250000000068e-005	1.195856e-001
1.124350000000068e-005	1.195854e-001
1.138964285714361e-005	1.196103e-001
1.153578571428655e-005	1.197169e-001
1.168192857142947e-005	1.199051e-001
1.182807142857241e-005	1.201749e-001
1.197421428571533e-005	1.205265e-001
1.212035714285827e-005	1.209597e-001
1.226650000000120e-005	1.214745e-001
1.226750000000120e-005	1.214782e-001
1.241364285714412e-005	1.220622e-001
1.255978571428706e-005	1.227068e-001
1.270592857142999e-005	1.234123e-001
1.285207142857292e-005	1.241785e-001
1.299821428571585e-005	1.250054e-001
1.314435714285878e-005	1.258931e-001
1.329050000000171e-005	1.268416e-001
1.329150000000171e-005	1.268482e-001
1.343764285714464e-005	1.278478e-001
1.358378571428757e-005	1.288923e-001
1.372992857143050e-005	1.299816e-001
1.387607142857343e-005	1.311158e-001
1.402221428571636e-005	1.322947e-001
1.416835714285929e-005	1.335186e-001
1.431450000000222e-005	1.347872e-001
1.431550000000222e-005	1.347960e-001
1.446164285714513e-005	1.361022e-001
1.460778571428804e-005	1.374411e-001
1.475392857143095e-005	1.388128e-001
1.490007142857386e-005	1.402171e-001
1.504621428571677e-005	1.416542e-001
1.519235714285968e-005	1.431241e-001
1.533850000000259e-005	1.446266e-001
1.533950000000259e-005	1.446370e-001
1.548564285714527e-005	1.461667e-001
1.563178571428795e-005	1.477199e-001
1.577792857143064e-005	1.492967e-001
1.592407142857332e-005	1.508969e-001
1.607021428571600e-005	1.525207e-001
1.621635714285869e-005	1.541680e-001
1.636250000000137e-005	1.558388e-001
1.636350000000137e-005	1.558503e-001
1.650964285714405e-005	1.575404e-001
1.665578571428673e-005	1.592470e-001
1.680192857142941e-005	1.609701e-001
1.694807142857210e-005	1.627098e-001
1.709421428571478e-005	1.644660e-001
1.724035714285746e-005	1.662386e-001
1.738650000000014e-005	1.680278e-001
1.738750000000014e-005	1.680401e-001
1.753364285714282e-005	1.698426e-001
1.767978571428551e-005	1.716563e-001
1.782592857142819e-005	1.734812e-001
1.797207142857087e-005	1.753173e-001
1.811821428571356e-005	1.771647e-001
1.826435714285624e-005	1.790232e-001
1.841049999999892e-005	1.808929e-001
1.841149999999892e-005	1.809058e-001
1.855764285714160e-005	1.827842e-001
1.870378571428428e-005	1.846699e-001
1.884992857142696e-005	1.865628e-001
1.899607142856965e-005	1.884628e-001
1.914221428571233e-005	1.903701e-001
1.928835714285501e-005	1.922845e-001
1.943449999999769e-005	1.942061e-001
1.943549999999769e-005	1.942192e-001
1.958164285714038e-005	1.961461e-001
1.972778571428306e-005	1.980772e-001
1.987392857142574e-005	2.000124e-001
2.002007142856842e-005	2.019517e-001
2.016621428571111e-005	2.038951e-001
2.031235714285379e-005	2.058427e-001
2.045849999999647e-005	2.077945e-001
2.045949999999647e-005	2.078079e-001
2.148349999999525e-005	2.215412e-001
2.250749999999402e-005	2.353211e-001
2.353149999999280e-005	2.490739e-001
2.455549999999157e-005	2.627443e-001
2.557949999999035e-005	2.762917e-001
2.660349999998912e-005	2.896860e-001
2.762749999998790e-005	3.029055e-001
2.865149999998668e-005	3.159347e-001
2.967549999998545e-005	3.287629e-001
3.069949999998484e-005	3.413829e-001
3.172349999998709e-005	3.537903e-001
3.274749999998933e-005	3.659829e-001
3.377149999999158e-005	3.779597e-001
3.479549999999382e-005	3.897213e-001
3.581949999999607e-005	4.012688e-001
3.684349999999831e-005	4.126042e-001
3.786750000000056e-005	4.237299e-001
3.889150000000280e-005	4.346485e-001
3.991550000000505e-005	4.453631e-001
4.093950000000730e-005	4.558768e-001
4.196350000000954e-005	4.661928e-001
4.298750000001179e-005	4.763145e-001
4.401150000001403e-005	4.862453e-001
4.503550000001628e-005	4.959884e-001
4.605950000001852e-005	5.055473e-001
4.708350000002077e-005	5.149254e-001
4.810750000002301e-005	5.241259e-001
4.913150000002526e-005	5.331522e-001
5.015550000002750e-005	5.420074e-001
5.117950000002975e-005	5.506948e-001
5.220350000003199e-005	5.592175e-001
5.322750000003424e-005	5.675787e-001
5.425150000003648e-005	5.757812e-001
5.527550000003873e-005	5.838283e-001
5.629950000004098e-005	5.917228e-001
5.732350000004322e-005	5.994675e-001
5.834750000004547e-005	6.070653e-001
5.937150000004771e-005	6.145191e-001
6.039550000004996e-005	6.218314e-001
6.141950000005220e-005	6.290050e-001
6.244350000005445e-005	6.360426e-001
6.346750000005669e-005	6.429467e-001
6.449150000005894e-005	6.497198e-001
6.551550000006118e-005	6.563644e-001
6.653950000006343e-005	6.628830e-001
6.756350000006567e-005	6.692779e-001
6.858750000006792e-005	6.755515e-001
6.961150000007016e-005	6.817062e-001
7.063550000007241e-005	6.877440e-001
7.165950000007466e-005	6.936674e-001
7.268350000007690e-005	6.994783e-001
7.370750000007915e-005	7.051791e-001
7.473150000008139e-005	7.107717e-001
