Freq.	V(vo)
1.00000000000000e+002	(-5.67981678542882e-003dB,-2.07358586186775e+000°)
1.00230293249304e+002	(-5.70599447259037e-003dB,-2.07835779942327e+000°)
1.00461116848415e+002	(-5.73229275027549e-003dB,-2.08314070297073e+000°)
1.00692472018692e+002	(-5.75871217346070e-003dB,-2.08793459760186e+000°)
1.00924359984308e+002	(-5.78525329964422e-003dB,-2.09273950846509e+000°)
1.01156781972255e+002	(-5.81191668890877e-003dB,-2.09755546076560e+000°)
1.01389739212350e+002	(-5.83870290389085e-003dB,-2.10238247976551e+000°)
1.01623232937243e+002	(-5.86561250982234e-003dB,-2.10722059078396e+000°)
1.01857264382422e+002	(-5.89264607452964e-003dB,-2.11206981919724e+000°)
1.02091834786220e+002	(-5.91980416843864e-003dB,-2.11693019043895e+000°)
1.02326945389823e+002	(-5.94708736460570e-003dB,-2.12180173000006e+000°)
1.02562597437275e+002	(-5.97449623870910e-003dB,-2.12668446342908e+000°)
1.02798792175484e+002	(-6.00203136908680e-003dB,-2.13157841633218e+000°)
1.03035530854230e+002	(-6.02969333670761e-003dB,-2.13648361437330e+000°)
1.03272814726172e+002	(-6.05748272523017e-003dB,-2.14140008327429e+000°)
1.03510645046852e+002	(-6.08540012097996e-003dB,-2.14632784881502e+000°)
1.03749023074706e+002	(-6.11344611298604e-003dB,-2.15126693683352e+000°)
1.03987950071066e+002	(-6.14162129296966e-003dB,-2.15621737322608e+000°)
1.04227427300169e+002	(-6.16992625538100e-003dB,-2.16117918394743e+000°)
1.04467456029164e+002	(-6.19836159738971e-003dB,-2.16615239501079e+000°)
1.04708037528119e+002	(-6.22692791891204e-003dB,-2.17113703248806e+000°)
1.04949173070025e+002	(-6.25562582262060e-003dB,-2.17613312250991e+000°)
1.05190863930806e+002	(-6.28445591394841e-003dB,-2.18114069126594e+000°)
1.05433111389323e+002	(-6.31341880111696e-003dB,-2.18615976500477e+000°)
1.05675916727383e+002	(-6.34251509513835e-003dB,-2.19119037003418e+000°)
1.05919281229746e+002	(-6.37174540981247e-003dB,-2.19623253272125e+000°)
1.06163206184130e+002	(-6.40111036178991e-003dB,-2.20128627949248e+000°)
1.06407692881216e+002	(-6.43061057052479e-003dB,-2.20635163683390e+000°)
1.06652742614662e+002	(-6.46024665832222e-003dB,-2.21142863129125e+000°)
1.06898356681101e+002	(-6.49001925035386e-003dB,-2.21651728947002e+000°)
1.07144536380154e+002	(-6.51992897464648e-003dB,-2.22161763803568e+000°)
1.07391283014436e+002	(-6.54997646212172e-003dB,-2.22672970371375e+000°)
1.07638597889559e+002	(-6.58016234658557e-003dB,-2.23185351328991e+000°)
1.07886482314144e+002	(-6.61048726476619e-003dB,-2.23698909361018e+000°)
1.08134937599825e+002	(-6.64095185631021e-003dB,-2.24213647158104e+000°)
1.08383965061256e+002	(-6.67155676378958e-003dB,-2.24729567416953e+000°)
1.08633566016120e+002	(-6.70230263274621e-003dB,-2.25246672840340e+000°)
1.08883741785133e+002	(-6.73319011166213e-003dB,-2.25764966137124e+000°)
1.09134493692054e+002	(-6.76421985201758e-003dB,-2.26284450022261e+000°)
1.09385823063689e+002	(-6.79539250826514e-003dB,-2.26805127216817e+000°)
1.09637731229900e+002	(-6.82670873786940e-003dB,-2.27327000447980e+000°)
1.09890219523612e+002	(-6.85816920131104e-003dB,-2.27850072449075e+000°)
1.10143289280821e+002	(-6.88977456211013e-003dB,-2.28374345959576e+000°)
1.10396941840596e+002	(-6.92152548680698e-003dB,-2.28899823725119e+000°)
1.10651178545092e+002	(-6.95342264503664e-003dB,-2.29426508497517e+000°)
1.10906000739557e+002	(-6.98546670946731e-003dB,-2.29954403034770e+000°)
1.11161409772333e+002	(-7.01765835589313e-003dB,-2.30483510101081e+000°)
1.11417406994870e+002	(-7.04999826318129e-003dB,-2.31013832466868e+000°)
1.11673993761729e+002	(-7.08248711332817e-003dB,-2.31545372908777e+000°)
1.11931171430590e+002	(-7.11512559145470e-003dB,-2.32078134209697e+000°)
1.12188941362261e+002	(-7.14791438582873e-003dB,-2.32612119158771e+000°)
1.12447304920684e+002	(-7.18085418786520e-003dB,-2.33147330551412e+000°)
1.12706263472941e+002	(-7.21394569216880e-003dB,-2.33683771189312e+000°)
1.12965818389261e+002	(-7.24718959651482e-003dB,-2.34221443880462e+000°)
1.13225971043033e+002	(-7.28058660189378e-003dB,-2.34760351439159e+000°)
1.13486722810804e+002	(-7.31413741250189e-003dB,-2.35300496686023e+000°)
1.13748075072293e+002	(-7.34784273577508e-003dB,-2.35841882448009e+000°)
1.14010029210398e+002	(-7.38170328238918e-003dB,-2.36384511558423e+000°)
1.14272586611199e+002	(-7.41571976627839e-003dB,-2.36928386856931e+000°)
1.14535748663969e+002	(-7.44989290465486e-003dB,-2.37473511189578e+000°)
1.14799516761182e+002	(-7.48422341802617e-003dB,-2.38019887408795e+000°)
1.15063892298517e+002	(-7.51871203019561e-003dB,-2.38567518373419e+000°)
1.15328876674866e+002	(-7.55335946829510e-003dB,-2.39116406948703e+000°)
1.15594471292347e+002	(-7.58816646278548e-003dB,-2.39666556006332e+000°)
1.15860677556302e+002	(-7.62313374748174e-003dB,-2.40217968424432e+000°)
1.16127496875311e+002	(-7.65826205956869e-003dB,-2.40770647087589e+000°)
1.16394930661201e+002	(-7.69355213960019e-003dB,-2.41324594886862e+000°)
1.16662980329046e+002	(-7.72900473154184e-003dB,-2.41879814719790e+000°)
1.16931647297180e+002	(-7.76462058276441e-003dB,-2.42436309490418e+000°)
1.17200932987205e+002	(-7.80040044406240e-003dB,-2.42994082109298e+000°)
1.17470838823996e+002	(-7.83634506967743e-003dB,-2.43553135493511e+000°)
1.17741366235708e+002	(-7.87245521731481e-003dB,-2.44113472566678e+000°)
1.18012516653787e+002	(-7.90873164814769e-003dB,-2.44675096258975e+000°)
1.18284291512975e+002	(-7.94517512684521e-003dB,-2.45238009507145e+000°)
1.18556692251316e+002	(-7.98178642157854e-003dB,-2.45802215254513e+000°)
1.18829720310169e+002	(-8.01856630404714e-003dB,-2.46367716451000e+000°)
1.19103377134210e+002	(-8.05551554947902e-003dB,-2.46934516053138e+000°)
1.19377664171443e+002	(-8.09263493667724e-003dB,-2.47502617024082e+000°)
1.19652582873207e+002	(-8.12992524798836e-003dB,-2.48072022333624e+000°)
1.19928134694181e+002	(-8.16738726936918e-003dB,-2.48642734958207e+000°)
1.20204321092398e+002	(-8.20502179037549e-003dB,-2.49214757880943e+000°)
1.20481143529245e+002	(-8.24282960416800e-003dB,-2.49788094091622e+000°)
1.20758603469477e+002	(-8.28081150756476e-003dB,-2.50362746586726e+000°)
1.21036702381221e+002	(-8.31896830102882e-003dB,-2.50938718369448e+000°)
1.21315441735985e+002	(-8.35730078868782e-003dB,-2.51516012449702e+000°)
1.21594823008667e+002	(-8.39580977836311e-003dB,-2.52094631844138e+000°)
1.21874847677558e+002	(-8.43449608157491e-003dB,-2.52674579576157e+000°)
