Freq.	LP
Step Information: Run=1  (Run: 1/10)
1.00000000000000e+003	(6.58014134945663e-002dB,1.70621076327740e+002°)
1.00230523807790e+003	(6.58641897342607e-002dB,1.70599443714219e+002°)
1.00461579027840e+003	(6.59272562862262e-002dB,1.70577761149028e+002°)
1.00693166885180e+003	(6.59906144955295e-002dB,1.70556028516433e+002°)
1.00925288607668e+003	(6.60542657134677e-002dB,1.70534245700431e+002°)
1.01157945425990e+003	(6.61182112976576e-002dB,1.70512412584746e+002°)
1.01391138573668e+003	(6.61824526119989e-002dB,1.70490529052829e+002°)
1.01624869287070e+003	(6.62469910267227e-002dB,1.70468594987861e+002°)
1.01859138805412e+003	(6.63118279184510e-002dB,1.70446610272746e+002°)
1.02093948370768e+003	(6.63769646702392e-002dB,1.70424574790117e+002°)
1.02329299228075e+003	(6.64424026715183e-002dB,1.70402488422331e+002°)
1.02565192625141e+003	(6.65081433182014e-002dB,1.70380351051468e+002°)
1.02801629812647e+003	(6.65741880127441e-002dB,1.70358162559334e+002°)
1.03038612044162e+003	(6.66405381640137e-002dB,1.70335922827457e+002°)
1.03276140576140e+003	(6.67071951875258e-002dB,1.70313631737089e+002°)
1.03514216667934e+003	(6.67741605053726e-002dB,1.70291289169200e+002°)
1.03752841581801e+003	(6.68414355462509e-002dB,1.70268895004486e+002°)
1.03992016582906e+003	(6.69090217454079e-002dB,1.70246449123360e+002°)
1.04231742939330e+003	(6.69769205449292e-002dB,1.70223951405957e+002°)
1.04472021922080e+003	(6.70451333935277e-002dB,1.70201401732129e+002°)
1.04712854805090e+003	(6.71136617466343e-002dB,1.70178799981449e+002°)
1.04954242865232e+003	(6.71825070665030e-002dB,1.70156146033205e+002°)
1.05196187382322e+003	(6.72516708221387e-002dB,1.70133439766405e+002°)
1.05438689639126e+003	(6.73211544894460e-002dB,1.70110681059771e+002°)
1.05681750921366e+003	(6.73909595511132e-002dB,1.70087869791741e+002°)
1.05925372517729e+003	(6.74610874968130e-002dB,1.70065005840469e+002°)
1.06169555719872e+003	(6.75315398230787e-002dB,1.70042089083824e+002°)
1.06414301822431e+003	(6.76023180334699e-002dB,1.70019119399386e+002°)
1.06659612123026e+003	(6.76734236384993e-002dB,1.69996096664450e+002°)
1.06905487922266e+003	(6.77448581557270e-002dB,1.69973020756023e+002°)
1.07151930523761e+003	(6.78166231097581e-002dB,1.69949891550823e+002°)
1.07398941234124e+003	(6.78887200323278e-002dB,1.69926708925280e+002°)
1.07646521362983e+003	(6.79611504622509e-002dB,1.69903472755532e+002°)
1.07894672222983e+003	(6.80339159455470e-002dB,1.69880182917428e+002°)
1.08143395129794e+003	(6.81070180354435e-002dB,1.69856839286526e+002°)
1.08392691402120e+003	(6.81804582923214e-002dB,1.69833441738091e+002°)
1.08642562361706e+003	(6.82542382839185e-002dB,1.69809990147096e+002°)
1.08893009333343e+003	(6.83283595852317e-002dB,1.69786484388220e+002°)
1.09144033644875e+003	(6.84028237785286e-002dB,1.69762924335849e+002°)
1.09395636627209e+003	(6.84776324535445e-002dB,1.69739309864074e+002°)
1.09647819614318e+003	(6.85527872073661e-002dB,1.69715640846688e+002°)
